day mean_site1 std_site1 mean_site2 std_site2
0 21.2762 7.62939e-06 22.0453 0.0
1 21.3006 0.0598933 22.4015 0.0488019
2 21.4106 0.0621233 22.6948 0.0412826
3 21.2219 0.0884583 22.9232 0.0814942
4 21.4331 0.129316 22.6293 0.141054
5 21.561 0.148903 23.2436 0.176256
6 21.5049 0.146457 23.2853 0.190759
7 21.542 0.165529 22.6521 0.701196
8 21.6159 0.208882 22.5183 0.911952
9 21.6148 0.386399 22.5571 0.821014
10 21.3795 0.500974 22.4711 0.723161
11 21.6236 0.548275 22.655 0.651595
12 21.7713 0.683638 22.8019 0.653588
13 21.6973 0.612062 22.9663 0.755538
14 21.6493 0.564745 23.1045 0.886336
15 21.5983 0.580552 22.9646 1.06399
16 21.6025 0.522135 23.1144 1.04414
17 21.5509 0.449507 22.8978 1.14272
18 21.6588 0.51242 22.9005 1.08662
19 21.6833 0.585696 22.8998 1.2092
20 21.5984 0.603971 22.7192 1.31256
21 22.0217 0.646468 22.8414 1.37436
22 22.0068 0.897133 22.9653 1.27648
23 21.852 1.00627 23.1297 1.16982
24 21.7417 1.19414 22.9753 1.28669
25 21.6962 1.35849 23.2288 1.03427
26 21.8918 1.4179 23.2799 1.04024
27 21.7867 1.33468 23.4445 1.13737
28 21.8477 1.25695 23.5313 1.18198
29 21.7689 1.23318 23.5196 1.30147
30 22.0661 1.20532 23.5513 1.44862
31 22.1723 1.14176 23.8029 1.45742
32 22.2392 1.30066 23.8498 1.4789
33 22.2263 1.31207 23.9208 1.49874
34 22.3868 1.40895 23.9603 1.53009
35 22.4699 1.55759 24.0292 1.45975
36 22.6013 1.7323 24.1655 1.4345
37 22.6553 1.72533 24.2511 1.52913
38 22.8434 1.6104 24.3059 1.46682
39 22.7487 1.62218 24.2919 1.36252
40 22.3701 1.53737 24.2396 1.39566
41 22.3433 1.42346 24.0081 1.65024
42 22.3785 1.51828 23.9826 1.63725
43 22.6723 1.69499 24.043 1.48097
44 22.7332 1.82624 24.3329 1.43225
45 22.8099 1.89767 24.506 1.3915
46 22.824 1.99843 24.5756 1.41247
47 22.8348 2.08561 24.7342 1.45108
48 22.8964 2.06876 24.9224 1.38508
49 22.7684 2.0534 25.0538 1.39208
50 22.6132 2.06161 24.9391 1.41632
51 22.54 2.20883 24.8653 1.47794
52 22.5246 2.09707 24.8741 1.57818
53 23.0007 1.95771 24.8655 1.617
54 23.1125 1.94742 25.0693 1.57883
55 23.0938 2.02501 25.1454 1.61222
56 23.3835 2.0152 25.1756 1.50422
57 23.554 2.10669 25.3261 1.51751
58 23.5443 2.23028 25.4309 1.68115
59 23.6705 2.15919 25.4567 1.72112
60 23.4401 2.2185 25.4549 1.73632
61 23.3173 2.23582 25.4634 1.70346
62 23.2201 2.01323 25.4664 1.5697
63 23.0682 2.09553 25.4215 1.60396
64 22.9868 2.10447 25.4031 1.67329
65 23.2735 2.03011 25.334 1.7848
66 23.7175 2.07176 25.5 1.72245
67 23.7529 2.20548 25.6303 1.662
68 23.5705 2.0982 25.7175 1.69398
69 23.5196 2.08228 25.5729 1.68157
70 23.6818 1.97771 25.7093 1.55567
71 23.6594 1.99939 25.7018 1.57869
72 23.9129 1.99936 25.5709 1.50867
73 24.1523 2.04431 25.7581 1.51759
74 24.1381 2.10977 25.898 1.55322
75 24.2005 2.14279 25.9814 1.59081
76 24.0272 2.21807 26.0867 1.58156
77 24.0422 2.26017 26.1041 1.61183
78 24.2095 2.137 26.082 1.60179
79 24.1462 2.28941 26.14 1.60171
80 24.2215 2.32353 26.2038 1.71535
81 24.2431 2.3036 26.2934 1.68487
82 24.1977 2.2333 26.213 1.67517
83 24.2514 2.26731 26.1534 1.63397
84 24.629 2.1539 26.2211 1.55971
85 24.6444 2.21489 26.3217 1.55973
